word,phonemes,difficulty
إِفَادَةِ,ʔ-i-f-aː-d-a,medium
جَرِير,dʒ-a-r-iː-r,low
وَبِعْ,w-a-b-i-ʕ,medium
نُفُوسَهُمْ,n-u-f-uː-s-a-h-u-m,low
فَغَدَوْا,f-a-ɣ-a-d-a-w,medium
وَجْهَيْنِ؛,w-a-dʒ-h-a-j-n-i,low
عَتِيق,ʕ-a-t-iː-q,medium
الْمَوْجِدَة,a-l-m-a-w-dʒ-i-d-a,low
الصُّدُورُ,a-sˤ-sˤ-u-d-uː-r-u,medium
التَّرْجِيحِ,a-t-t-a-r-dʒ-iː-ħ-i,medium
وَحَارَبُوا,w-a-ħ-aː-r-a-b-uː,medium
لِيَتَّخِذُوا,l-i-j-a-t-t-a-x-i-ð-uː,medium
لِسِتِّينَ,l-i-s-i-t-t-iː-n-a,low
مُغَلَّفَةٌ,m-u-ɣ-a-l-l-a-f-a,medium
قَصَب,q-a-sˤ-a-b,medium
الشَّجَرَتَانِ,a-ʃ-ʃ-a-dʒ-a-r-a-t-aː-n-i,low
تُوَضِّحُهَا,t-uː-dˤ-dˤ-i-ħ-u-h-aː,high
الْحَرِيرِ,a-l-ħ-a-r-iː-r-i,medium
سَبَّاقٌ,s-a-b-b-aː-q-u-n,medium
وَأَرْضَعَهُ,w-a-ʔ-a-r-dˤ-a-ʕ-a-h-u,high
التَّبَصُّرِ,a-t-t-a-b-a-sˤ-sˤ-u-r-i,medium
فِطْرِيٌّ,f-i-tˤ-r-i-j-j-u-n,medium
فَتَحْتهَا,f-a-t-a-ħ-t-h-aː,medium
الِابْتِسَامِ,a-l-b-t-i-s-aː-m-i,low
التَّوَقُّعُ,a-t-t-a-w-a-q-q-u-ʕ-u,high
خِلَافَةُ,x-i-l-aː-f-a,low
حَسَبِهِ,ħ-a-s-a-b-i-h-i,medium
سَذَاجَةِ,s-a-ð-aː-dʒ-a,medium
السُّلْوَان,a-s-s-u-l-w-aː-n,low
الْإِيجَابِيُّ,a-l-ʔ-iː-dʒ-aː-b-i-j-j-u,medium
تَتَصَرَّفُ,t-a-t-a-sˤ-a-r-r-a-f-u,medium
سَاطِعًا,s-aː-tˤ-i-ʕ-a-n,medium
تُقَلْقِلُهُ,t-u-q-a-l-q-i-l-u-h-u,medium
بِذَلِكَ؛,b-i-ð-a-l-i-k-a,medium
وَالتَّوْبِيخُ,w-aː-l-t-t-a-w-b-iː-x-u,low
صِلَتَهُ,sˤ-i-l-a-t-a-h-u,medium
ضِدَّ,dˤ-i-d-d-a,medium
الْمُعْجَمُ,a-l-m-u-ʕ-dʒ-a-m-u,medium
السَّمَاوَاتِ,a-s-s-a-m-aː-w-aː-t-i,low
وَجَمَاعَاتٍ,w-a-dʒ-a-m-aː-ʕ-aː-t-i-n,medium
وَقَضِمَهُ,w-a-q-a-dˤ-i-m-a-h-u,medium
وَبِمَصْلَحَةِ,w-a-b-i-m-a-sˤ-l-a-ħ-a,medium
عَجَفْتُ,ʕ-a-dʒ-a-f-t-u,medium
نَقَائِضِ,n-a-q-aː-ʔ-i-dˤ-i,high
الْبُرُولِيتَارِيَّةِ,a-l-b-u-r-uː-l-iː-t-aː-r-i-j-j-a,low
تَقْتَطِفُ,t-a-q-t-a-tˤ-i-f-u,medium
خَشِنَة,x-a-ʃ-i-n-a,low
فَأَتَيْتُ,f-a-ʔ-a-t-a-j-t-u,medium
وَحِمَايَةِ,w-a-ħ-i-m-aː-j-a,medium
بِرَانْتْ,b-i-r-aː-n-t,low
مِئَاتُ,m-i-ʔ-aː-t-u,medium
الصارِمُ,a-sˤ-r-i-m-u,medium
عُبُودِيَّةٌ,ʕ-u-b-uː-d-i-j-j-a,medium
قُدْرَتِكُمْ,q-u-d-r-a-t-i-k-u-m,medium
نَقَدُوا,n-a-q-a-d-uː,medium
بِدَاخِلِهَا,b-i-d-aː-x-i-l-i-h-aː,low
نَتَبَيَّنَ,n-a-t-a-b-a-j-j-a-n-a,low
لِنَنْظُرْ,l-i-n-a-n-ðˤ-u-r,medium
مُقَاوِلِينَ,m-u-q-aː-w-i-l-iː-n-a,medium
عُيُونِ,ʕ-u-j-uː-n-i,medium
وَرُقِيٍّ,w-a-r-u-q-i-j-j-i-n,medium
قَطْعًا,q-a-tˤ-ʕ-a-n,high
فِرْعَوْنَ,f-i-r-ʕ-a-w-n-a,medium
وَاسْتَخْذَى,w-aː-s-t-a-x-ð-aː,medium
وَلِنْت,w-a-l-i-n-t,low
وَانْصَلَتَ,w-aː-n-sˤ-a-l-a-t-a,medium
الْجُدْرَانِ,a-l-dʒ-u-d-r-aː-n-i,low
النَّقْلُ,a-n-n-a-q-l-u,medium
الْمُسْتَبِدِّينَ,a-l-m-u-s-t-a-b-i-d-d-iː-n-a,low
يَعْتَرِضُ,j-a-ʕ-t-a-r-i-dˤ-u,medium
الْمُصَدِّرَةِ,a-l-m-u-sˤ-a-d-d-i-r-a,medium
فَيَتَيَسَّرُ,f-a-j-a-t-a-j-a-s-s-a-r-u,low
الطَّائِفُ,a-tˤ-tˤ-aː-ʔ-i-f-u,high
مَقْلُوبَةً,m-a-q-l-uː-b-a,medium
الشَّكّ,a-ʃ-ʃ-a-k-k,low
وَتَضَمَّنَتِ,w-a-t-a-dˤ-a-m-m-a-n-a-t-i,medium
ضَارِع,dˤ-aː-r-i-ʕ,medium
الْمُعَامَلَةَ,a-l-m-u-ʕ-aː-m-a-l-a,medium
بِآمَالِهِ,b-i-ʔ-aː-m-aː-l-i-h-i,medium
وَغَمَائِزه,w-a-ɣ-a-m-aː-ʔ-i-z-h,medium
يَجْزِي,j-a-dʒ-z-iː,low
وَقْتهَا,w-a-q-t-h-aː,medium
وَلُوَاح,w-a-l-uː-ħ,medium
افْتِقَادَهُمْ,f-t-i-q-aː-d-a-h-u-m,medium
وَسَرَوْتُ,w-a-s-a-r-a-w-t-u,low
لِدِينِ,l-i-d-iː-n-i,low
الْغَدْرَ,a-l-ɣ-a-d-r-a,medium
سِتِّينِيَّاتِ,s-i-t-t-iː-n-i-j-j-aː-t-i,low
جَيِّدٍ,dʒ-a-j-j-i-d-i-n,low
مَفَاصِلُهُ,m-a-f-aː-sˤ-i-l-u-h-u,medium
وَتَقُولَ,w-a-t-a-q-uː-l-a,medium
وَمُثَقَّفُونَ,w-a-m-u-θ-a-q-q-a-f-uː-n-a,high
اِخْتَلَّ,x-t-a-l-l-a,low
مُتَبَايِنَةٍ,m-u-t-a-b-aː-j-i-n-a,low
وَاسْتَخَفَّتْهُ,w-aː-s-t-a-x-a-f-f-a-t-h-u,low
الِانْتِفَاضَةِ,a-l-n-t-i-f-aː-dˤ-a,medium
تُذْكَرُ,t-u-ð-k-a-r-u,medium
الْكِيمْيَائِيَّةِ,a-l-k-iː-m-j-aː-ʔ-i-j-j-a,medium
الشُّؤُون,a-ʃ-ʃ-u-ʔ-uː-n,medium
مُحَمَّقٌ,m-u-ħ-a-m-m-a-q-u-n,medium
خَزَائِنُ,x-a-z-aː-ʔ-i-n-u,medium
شَارِبَهُ,ʃ-aː-r-i-b-a-h-u,low
أَكُنْتُمْ,ʔ-a-k-u-n-t-u-m,medium
الْقَادِرِ,a-l-q-aː-d-i-r-i,medium
وَأَمَامَهَا,w-a-ʔ-a-m-aː-m-a-h-aː,medium
سُعِفَ,s-u-ʕ-i-f-a,medium
تَعَرَّضْنَا,t-a-ʕ-a-r-r-a-dˤ-n-aː,medium
الظُّلُماتُ,a-ðˤ-ðˤ-u-l-u-m-t-u,medium
الرَّكْعَةَ,a-r-r-a-k-ʕ-a,medium
يُجِبْهُمْ,j-u-dʒ-i-b-h-u-m,low
وَيْحَكَ,w-a-j-ħ-a-k-a,medium
سَوَاسِيَةٌ,s-a-w-aː-s-i-j-a,low
الْهَدِيَّةَ,a-l-h-a-d-i-j-j-a,low
وَلَقَّانِيهِ,w-a-l-a-q-q-aː-n-iː-h-i,medium
الْمُؤَقَّتَةَ,a-l-m-u-ʔ-a-q-q-a-t-a,high
الْوَحْشِ,a-l-w-a-ħ-ʃ-i,medium
وَوَقَفَتْ,w-a-w-a-q-a-f-a-t,medium
هَفَا,h-a-f-aː,low
بِالْأسْلِحَةِ,b-i-l-ʔ-a-s-l-i-ħ-a,medium
وبَينَ,w-b-a-j-n-a,low
بِتَارِيخِهَا,b-i-t-aː-r-iː-x-i-h-aː,low
وَخَجِلَ,w-a-x-a-dʒ-i-l-a,low
نَزْعَةٌ,n-a-z-ʕ-a,medium
رَدَّدَهَا,r-a-d-d-a-d-a-h-aː,low
أَحكاكي,ʔ-a-ħ-k-k-j,medium
الْعَيْنِيَّةُ,a-l-ʕ-a-j-n-i-j-j-a,medium
فِيءٌ,f-iː-ʔ-u-n,medium
هِمَّتُك,h-i-m-m-a-t-u-k,low
فَأُصَلِّي,f-a-ʔ-u-sˤ-a-l-l-iː,medium
يَطْمَحَ,j-a-tˤ-m-a-ħ-a,medium
شُهْرَةً,ʃ-u-h-r-a,low
وَالإِتْكَاء,w-aː-l-ʔ-i-t-k-aː-ʔ,medium
مَلْعَبَ,m-a-l-ʕ-a-b-a,medium
بِمَعْزِل,b-i-m-a-ʕ-z-i-l,medium
الْعَقْدَيْنِ,a-l-ʕ-a-q-d-a-j-n-i,medium
عُلُومَهُ,ʕ-u-l-uː-m-a-h-u,medium
الْمُدْرَكَةِ,a-l-m-u-d-r-a-k-a,low
تَبَلْوَرَتْ,t-a-b-a-l-w-a-r-a-t,low
مَرْمُوقَةً,m-a-r-m-uː-q-a,medium
سَعِيدِ,s-a-ʕ-iː-d-i,medium
قَلِقَةٌ,q-a-l-i-q-a,medium
سَانْت,s-aː-n-t,low
عِرَاكِهِ,ʕ-i-r-aː-k-i-h-i,medium
مُخْتَصَر,m-u-x-t-a-sˤ-a-r,medium
وَمُتَوَزَّع,w-a-m-u-t-a-w-a-z-z-a-ʕ,medium
وَسُحِرَ,w-a-s-u-ħ-i-r-a,medium
احْكُمْ,ħ-k-u-m,medium
وَطَفَّ,w-a-tˤ-a-f-f-a,medium
وَالْمَآسِيَ,w-aː-l-m-a-ʔ-aː-s-i-j-a,medium
وَتَتَسَلَّمُهُ,w-a-t-a-t-a-s-a-l-l-a-m-u-h-u,low
مُتْرَف,m-u-t-r-a-f,low
وَبَيْضَاءَ,w-a-b-a-j-dˤ-aː-ʔ-a,medium
التَّوَازُنَاتِ,a-t-t-a-w-aː-z-u-n-aː-t-i,low
وَالْعَبْدِ,w-aː-l-ʕ-a-b-d-i,medium
وَتُحَفِّزُ,w-a-t-u-ħ-a-f-f-i-z-u,medium
أَمَرَ,ʔ-a-m-a-r-a,medium
وصَغَوْت,w-sˤ-a-ɣ-a-w-t,medium
وَابْتُغِيَ,w-aː-b-t-u-ɣ-i-j-a,medium
مُبَرِّرًا,m-u-b-a-r-r-i-r-a-n,low
حِذَاره,ħ-i-ð-aː-r-h,medium
وَجَلَبَ,w-a-dʒ-a-l-a-b-a,low
دُوكُوفسْت,d-uː-k-uː-f-s-t,low
الرِّسَالَةُ,a-r-r-i-s-aː-l-a,low
لِجَمْعِ,l-i-dʒ-a-m-ʕ-i,medium
كَأَنِّي,k-a-ʔ-a-n-n-iː,medium
سَابِعِهِ,s-aː-b-i-ʕ-i-h-i,medium
التَّمْهِيدِ,a-t-t-a-m-h-iː-d-i,low
أَحْكَامِهِمْ,ʔ-a-ħ-k-aː-m-i-h-i-m,medium
حَلِيمَة,ħ-a-l-iː-m-a,medium
شَهْوَةَ,ʃ-a-h-w-a,low
التَّتْوِيجِ,a-t-t-a-t-w-iː-dʒ-i,low
بِقِتالِ,b-i-q-i-t-l-i,medium
مَنْفَعَةِ,m-a-n-f-a-ʕ-a,medium
وَأَغْضَاهُ,w-a-ʔ-a-ɣ-dˤ-aː-h-u,high
قِطَعِ,q-i-tˤ-a-ʕ-i,high
نَمْتَلِكُهَا,n-a-m-t-a-l-i-k-u-h-aː,low
الْقُرْآنُ,a-l-q-u-r-ʔ-aː-n-u,medium
الْمُدْرَكِ,a-l-m-u-d-r-a-k-i,low
انْفِصَالَ,n-f-i-sˤ-aː-l-a,medium
كَادَتِ,k-aː-d-a-t-i,low
أَسَاءُوا,ʔ-a-s-aː-ʔ-uː,medium
الْخَالِدَةَ,a-l-x-aː-l-i-d-a,low
السُّبُلِ,a-s-s-u-b-u-l-i,low
لِيُسَخِّرَهَا,l-i-j-u-s-a-x-x-i-r-a-h-aː,low
مَرْكَزَيْهِمَا,m-a-r-k-a-z-a-j-h-i-m-aː,low
الْفَلَاسِفَةَ,a-l-f-a-l-aː-s-i-f-a,low
مُثُلَهَا,m-u-θ-u-l-a-h-aː,medium
تَكْتَفِي,t-a-k-t-a-f-iː,low
جَاءَنِي,dʒ-aː-ʔ-a-n-iː,medium
تَقْصِيرًا,t-a-q-sˤ-iː-r-a-n,medium
وَمُشَجِّعًا,w-a-m-u-ʃ-a-dʒ-dʒ-i-ʕ-a-n,medium
وَالْحِسِّ,w-aː-l-ħ-i-s-s-i,medium
تشانْغ,t-ʃ-n-ɣ,medium
مَرْوَان,m-a-r-w-aː-n,low
كُسِيَتِ,k-u-s-i-j-a-t-i,low
أيِّ,ʔ-a-j-j-i,medium
وَآزَرَنِي,w-a-ʔ-aː-z-a-r-a-n-iː,medium
بِمَرِيضٍ,b-i-m-a-r-iː-dˤ-i-n,medium
فِطْرِهَا,f-i-tˤ-r-i-h-aː,medium
حِدَاداً,ħ-i-d-aː-d,medium
ضِيقَهُ,dˤ-iː-q-a-h-u,medium
التَّفَاعُلُ,a-t-t-a-f-aː-ʕ-u-l-u,medium
فَارَ,f-aː-r-a,low
يَصِيدُ,j-a-sˤ-iː-d-u,medium
بِلَيْلَةِ,b-i-l-a-j-l-a,low
الْخَطَّيْنِ,a-l-x-a-tˤ-tˤ-a-j-n-i,medium
وَتَبْنِيهِ,w-a-t-a-b-n-iː-h-i,low
وَعَمَلِيَّةٌ,w-a-ʕ-a-m-a-l-i-j-j-a,medium
وَتَأَنَّقَ,w-a-t-a-ʔ-a-n-n-a-q-a,medium
رَهْنًا,r-a-h-n-a-n,low
يُسْتَعْمَلَ,j-u-s-t-a-ʕ-m-a-l-a,medium
الْأَكْرَادِ,a-l-ʔ-a-k-r-aː-d-i,medium
تَنْتَشِرَ,t-a-n-t-a-ʃ-i-r-a,low
الباذِلِينَ,a-l-b-ð-i-l-iː-n-a,medium
تَتَعَلَّمُ,t-a-t-a-ʕ-a-l-l-a-m-u,medium
الزَّوَائِل,a-z-z-a-w-aː-ʔ-i-l,medium
صِنَاعَتَي,sˤ-i-n-aː-ʕ-a-t-a-j,medium
الرَّشَاقَةِ,a-r-r-a-ʃ-aː-q-a,medium
الِاسْتِفَادَةَ,a-l-s-t-i-f-aː-d-a,low
شَهْوَتِهِ,ʃ-a-h-w-a-t-i-h-i,low
الواسِعِ,a-l-w-s-i-ʕ-i,medium
وَأَنْشِطَةً,w-a-ʔ-a-n-ʃ-i-tˤ-a,medium
التَّعَصُّبِيَّةِ,a-t-t-a-ʕ-a-sˤ-sˤ-u-b-i-j-j-a,high
نَبْنِيهِ,n-a-b-n-iː-h-i,low
لِلِينُونَ,l-i-l-iː-n-uː-n-a,low
جَاكَ,dʒ-aː-k-a,low
بِالنَّمْلِ,b-i-l-n-n-a-m-l-i,low
وَالْعَرَضِ,w-aː-l-ʕ-a-r-a-dˤ-i,medium
سَاقِطِ,s-aː-q-i-tˤ-i,medium
وَرُكِزَ,w-a-r-u-k-i-z-a,low
حِلْسٌ,ħ-i-l-s-u-n,medium
الْحُرُوفَ,a-l-ħ-u-r-uː-f-a,medium
أَتَاكَ,ʔ-a-t-aː-k-a,medium
تَأَثُّرِهِمْ,t-a-ʔ-a-θ-θ-u-r-i-h-i-m,high
مَسَامِع,m-a-s-aː-m-i-ʕ,medium
وَأَعْطَتْ,w-a-ʔ-a-ʕ-tˤ-a-t,high
بِالْمَنْجَنِيقِ,b-i-l-m-a-n-dʒ-a-n-iː-q-i,medium
الْمُضِيِّ,a-l-m-u-dˤ-i-j-j-i,medium
وَالانْتِضَاح,w-aː-l-n-t-i-dˤ-aː-ħ,medium
بِمَرْأىً,b-i-m-a-r-ʔ-a-aː,medium
الْإِنْجِلِيزِيُّ,a-l-ʔ-i-n-dʒ-i-l-iː-z-i-j-j-u,medium
عَدُوُّ,ʕ-a-d-uː,medium
تَتَنَاوَلْ,t-a-t-a-n-aː-w-a-l,low
يَثْنِهِ,j-a-θ-n-i-h-i,medium
ازْدِهَارُهُ,z-d-i-h-aː-r-u-h-u,low
يُجَارَى,j-u-dʒ-aː-r-aː,low
الطَّاهِرِينَ,a-tˤ-tˤ-aː-h-i-r-iː-n-a,medium
بِالِاقْتِصَادِ,b-i-l-i-q-t-i-sˤ-aː-d-i,medium
لَسَفَهاً,l-a-s-a-f-a-h,low
الْهَمَلان,a-l-h-a-m-a-l-n,low
وَاطَّلَى,w-aː-tˤ-tˤ-a-l-aː,medium
الْقَدَمِ,a-l-q-a-d-a-m-i,medium
مُجْتَمَعٌ,m-u-dʒ-t-a-m-a-ʕ-u-n,medium
بُطُونُ,b-u-tˤ-uː-n-u,medium
الْحَدَق,a-l-ħ-a-d-a-q,medium
وَصُمْ,w-a-sˤ-u-m,medium
التَّحْقِيقُ,a-t-t-a-ħ-q-iː-q-u,high
لِمَسْؤُولَةٍ,l-i-m-a-s-ʔ-uː-l-a,medium
طِينًا,tˤ-iː-n-a-n,medium
وَاحِدَةً,w-aː-ħ-i-d-a,medium
بِآيَةٍ,b-i-ʔ-aː-j-a,medium
تُهَدِّدُ,t-u-h-a-d-d-i-d-u,low
النَّوْمُ,a-n-n-a-w-m-u,low
سُوِّيَ,s-uː-j-a,low
يَسْتَجْدِي,j-a-s-t-a-dʒ-d-iː,low
مُسَابَقَةِ,m-u-s-aː-b-a-q-a,medium
زَئِيرِ,z-a-ʔ-iː-r-i,medium
بِهَدَفَيْنِ,b-i-h-a-d-a-f-a-j-n-i,low
يَعْلَمْهُ,j-a-ʕ-l-a-m-h-u,medium
قُطْرِهِ,q-u-tˤ-r-i-h-i,medium
لَعْنَةً؛,l-a-ʕ-n-a,medium
تَطَوَّقَ,t-a-tˤ-a-w-w-a-q-a,medium
لِلنَّدَى,l-i-l-n-n-a-d-aː,low
جَرَّاءَ,dʒ-a-r-r-aː-ʔ-a,medium
أُشْرِكَ,ʔ-u-ʃ-r-i-k-a,medium
وَالتَّأْيِيدَ,w-aː-l-t-t-a-ʔ-j-iː-d-a,medium
شَتِيم,ʃ-a-t-iː-m,low
نُعَبِّرُ,n-u-ʕ-a-b-b-i-r-u,medium
يَسْتَبْقِي,j-a-s-t-a-b-q-iː,medium
قِصَّةٌ,q-i-sˤ-sˤ-a,high
وَلُغَتِهِ,w-a-l-u-ɣ-a-t-i-h-i,medium
زِدْنَا,z-i-d-n-aː,low
قَضَايَاهُ,q-a-dˤ-aː-j-aː-h-u,medium
فَيَجْدُرُ,f-a-j-a-dʒ-d-u-r-u,low
وَصِلَتِهَا,w-a-sˤ-i-l-a-t-i-h-aː,medium
دَمِعَة,d-a-m-i-ʕ-a,medium
آوْتَرْنِت,ʔ-aː-w-t-a-r-n-i-t,medium
يَابِسًا,j-aː-b-i-s-a-n,low
أُوبرا,ʔ-uː-b-r,medium
أُذُناً,ʔ-u-ð-u-n,medium
الدُّنْيَوِيِّ,a-d-d-u-n-j-a-w-i-j-j-i,low
فَيَحْكُمُ,f-a-j-a-ħ-k-u-m-u,medium
وَالْحَسَدِ,w-aː-l-ħ-a-s-a-d-i,medium
وَمَغْزَى,w-a-m-a-ɣ-z-aː,medium
الْحَاجَاتِ,a-l-ħ-aː-dʒ-aː-t-i,medium
يَحْتَسِبُوا,j-a-ħ-t-a-s-i-b-uː,medium
قُدُرَاتُهُ,q-u-d-u-r-aː-t-u-h-u,medium
وَالرَّغْبَةُ,w-aː-l-r-r-a-ɣ-b-a,medium
تَخْتارُ,t-a-x-t-r-u,low
تَئِقٌ,t-a-ʔ-i-q-u-n,medium
وَصَدِيقِي,w-a-sˤ-a-d-iː-q-iː,medium
نَسْتَغْرِبُ,n-a-s-t-a-ɣ-r-i-b-u,medium
يُفْعَلُ,j-u-f-ʕ-a-l-u,medium
فَتْرَةِ,f-a-t-r-a,low
مُحَاوَلَاتٍ,m-u-ħ-aː-w-a-l-aː-t-i-n,medium
الْعَوَاصِف,a-l-ʕ-a-w-aː-sˤ-i-f,medium
النُّجُومِ,a-n-n-u-dʒ-uː-m-i,low
غِوَايَةِ,ɣ-i-w-aː-j-a,medium
شُجُون,ʃ-u-dʒ-uː-n,low
مَعَهُ,m-a-ʕ-a-h-u,medium
إِقْلِيمِيَّةٍ,ʔ-i-q-l-iː-m-i-j-j-a,medium
الْمَعْرِفَةَ,a-l-m-a-ʕ-r-i-f-a,medium
مُلَاحَظَةُ,m-u-l-aː-ħ-a-ðˤ-a,medium
الْحِوَارُ,a-l-ħ-i-w-aː-r-u,medium
مِّنْهُ,m-m-i-n-h-u,low
وَخِطَابُ,w-a-x-i-tˤ-aː-b-u,medium
تَفَرُّعَ,t-a-f-a-r-r-u-ʕ-a,medium
بِتَقْدِيمِ,b-i-t-a-q-d-iː-m-i,medium
مَعْمَعَة,m-a-ʕ-m-a-ʕ-a,medium
الْمُجْتَمَعُ,a-l-m-u-dʒ-t-a-m-a-ʕ-u,medium
وَالذَّوْقَ,w-aː-l-ð-ð-a-w-q-a,high
وَالْمُعَامِلُ,w-aː-l-m-u-ʕ-aː-m-i-l-u,medium
خَدَّاعاً,x-a-d-d-aː-ʕ,medium
وَلَعَلِّي,w-a-l-a-ʕ-a-l-l-iː,medium
وَقَاعِدَةِ,w-a-q-aː-ʕ-i-d-a,medium
بِأَصْوَاتٍ,b-i-ʔ-a-sˤ-w-aː-t-i-n,medium
وَتَخْضَعُ,w-a-t-a-x-dˤ-a-ʕ-u,medium
وَدَعَكْت,w-a-d-a-ʕ-a-k-t,medium
كَأَنْجُم,k-a-ʔ-a-n-dʒ-u-m,medium
أَزَّر,ʔ-a-z-z-a-r,medium
حَامِياً,ħ-aː-m-iː,medium
وَاضْطَغَنَهَا,w-aː-dˤ-tˤ-a-ɣ-a-n-a-h-aː,high
مَكَانَتَهُمْ,m-a-k-aː-n-a-t-a-h-u-m,low
بَسَطْتَهُ,b-a-s-a-tˤ-t-a-h-u,medium
حِكَايَتَهَا,ħ-i-k-aː-j-a-t-a-h-aː,medium
خِرْص,x-i-r-sˤ,medium
يَجْدِلُوا,j-a-dʒ-d-i-l-uː,low
الْغِفَارِيَّ,a-l-ɣ-i-f-aː-r-i-j-j-a,medium
وَالْعَيْشِ,w-aː-l-ʕ-a-j-ʃ-i,medium
الْخَفِيِّ,a-l-x-a-f-i-j-j-i,low
النَّقْدِيَّةِ,a-n-n-a-q-d-i-j-j-a,medium
دَوْلَتُهُمْ,d-a-w-l-a-t-u-h-u-m,low
بِالقَاهِرَة,b-i-l-q-aː-h-i-r-a,medium
دَخَائِلِي,d-a-x-aː-ʔ-i-l-iː,medium
الْفُرْقَةِ,a-l-f-u-r-q-a,medium
لُزُومِهِ,l-u-z-uː-m-i-h-i,low
تَعِباً,t-a-ʕ-i-b,medium
وَأَرَى,w-a-ʔ-a-r-aː,medium
زَمَانِهَا,z-a-m-aː-n-i-h-aː,low
آثَرُوا,ʔ-aː-θ-a-r-uː,medium
الأَشْهَرِ,a-l-ʔ-a-ʃ-h-a-r-i,medium
الْمَشُورَةِ,a-l-m-a-ʃ-uː-r-a,low
الِاسْتِغْفَارَ,a-l-s-t-i-ɣ-f-aː-r-a,medium
مَنْطِقَةٍ,m-a-n-tˤ-i-q-a,medium
أَضْعَفَهُ,ʔ-a-dˤ-ʕ-a-f-a-h-u,high
الْعَقَائِدَ,a-l-ʕ-a-q-aː-ʔ-i-d-a,high
الْأَلْسُنُ,a-l-ʔ-a-l-s-u-n-u,medium
فَذَكَرَتْ,f-a-ð-a-k-a-r-a-t,medium
بِالْكَامِلِ,b-i-l-k-aː-m-i-l-i,low
لِلْمُطْلَقِ,l-i-l-m-u-tˤ-l-a-q-i,medium
لِعَظَمَةِ,l-i-ʕ-a-ðˤ-a-m-a,medium
وَبِالنَّفْسِ,w-a-b-i-l-n-n-a-f-s-i,low
إِمْلَائِيَّةٌ,ʔ-i-m-l-aː-ʔ-i-j-j-a,medium
وَتَمْضِي,w-a-t-a-m-dˤ-iː,medium
لِمَثْنَى,l-i-m-a-θ-n-aː,medium
تُوَلِّدُ,t-uː-l-l-i-d-u,low
وَعَمَدَهُ,w-a-ʕ-a-m-a-d-a-h-u,medium
وَلَّاهُمْ,w-a-l-l-aː-h-u-m,low
يَلْبَسُهُ,j-a-l-b-a-s-u-h-u,low
لَيَتَرَقَّب,l-a-j-a-t-a-r-a-q-q-a-b,medium
وَيَنْبُوعًا,w-a-j-a-n-b-uː-ʕ-a-n,medium
بِاخْتِيَارِ,b-i-x-t-i-j-aː-r-i,low
وَوَلْهَان,w-a-w-a-l-h-aː-n,low
اسْتِشْهَادِ,s-t-i-ʃ-h-aː-d-i,low
وَالِارْتِقَاءُ,w-aː-l-i-r-t-i-q-aː-ʔ-u,medium
الطَّاعِمِ,a-tˤ-tˤ-aː-ʕ-i-m-i,high
وَاجِبٌ,w-aː-dʒ-i-b-u-n,low
ويَبِيسه,w-j-a-b-iː-s-h,low
لِقُلُوبِكُمْ,l-i-q-u-l-uː-b-i-k-u-m,medium
الصَّحِيحُ؛,a-sˤ-sˤ-a-ħ-iː-ħ-u,high
يُعَانِينَ,j-u-ʕ-aː-n-iː-n-a,medium
وَلِلنّاسِ,w-a-l-i-l-n-n-s-i,low
فَبَيْنَنا,f-a-b-a-j-n-a-n,low
مُسْتَغْلِقًا,m-u-s-t-a-ɣ-l-i-q-a-n,medium
كَلْب,k-a-l-b,low
الْعِتَابَ,a-l-ʕ-i-t-aː-b-a,medium
وَالْمُوَلَّدِين,w-aː-l-m-uː-l-l-a-d-iː-n,low
الْمَشِيئَةَ,a-l-m-a-ʃ-iː-ʔ-a,medium
فَرَاغًا,f-a-r-aː-ɣ-a-n,medium
وَالأَنَامُ,w-aː-l-ʔ-a-n-aː-m-u,medium
لِعُشّاقِ,l-i-ʕ-u-ʃ-ʃ-q-i,medium
مِنْبَرِ,m-i-n-b-a-r-i,low
طُهْرَةٌ,tˤ-u-h-r-a,medium
أَقِمْ,ʔ-a-q-i-m,medium
مَتَابًا,m-a-t-aː-b-a-n,low
الْعَرَبِيَّةِ,a-l-ʕ-a-r-a-b-i-j-j-a,medium
بَطَلَتْ,b-a-tˤ-a-l-a-t,medium
تُرْبَطَ,t-u-r-b-a-tˤ-a,medium
نَبَات,n-a-b-aː-t,low
مُثِيرٌ,m-u-θ-iː-r-u-n,medium
زَادَ,z-aː-d-a,low
يَدَّعُونَهُ,j-a-d-d-a-ʕ-uː-n-a-h-u,medium
الذِّهْنُ,a-ð-ð-i-h-n-u,medium
فَبِنِعْمَةٍ,f-a-b-i-n-i-ʕ-m-a,medium
وَيَسْتَغْنِي,w-a-j-a-s-t-a-ɣ-n-iː,medium
فَالرِّثَاءُ,f-aː-l-r-r-i-θ-aː-ʔ-u,medium
يُشْرَبُ,j-u-ʃ-r-a-b-u,low
ادْعُونِي,d-ʕ-uː-n-iː,medium
وَتَمَطَّقْت,w-a-t-a-m-a-tˤ-tˤ-a-q-t,high
وَبَذِر,w-a-b-a-ð-i-r,medium
الْمَجَازِر,a-l-m-a-dʒ-aː-z-i-r,low
أَسَاسًا,ʔ-a-s-aː-s-a-n,medium
قَائِلًا,q-aː-ʔ-i-l-a-n,medium
زُور,z-uː-r,low
وَسَحَّتْ,w-a-s-a-ħ-ħ-a-t,medium
الْفِرَاقِ,a-l-f-i-r-aː-q-i,medium
